name,adress,regitration,link
Первый дизайн-хакатон Северо-Запада,"Офлайн, Санкт-Петербург",Регистрация: до 18 марта,https://hackathon2024.munla.ru/home
BURNING HEROES AI FOR HUMANITY HACKATHON 2024,Онлайн,Регистрация: до 29 марта,https://www.burningheroes.com/2024/hackathon
Московский туристический хакатон,"Онлайн+офлайн, Россия, г. Москва",Регистрация: до 11 марта,https://business.russpass.ru/projects-events/moscow-travel-hack-hakaton/moscow-travel-hack-2024
Cup IT 2024,Онлайн,Регистрация: до 10 марта,https://changellenge.com/championships/changellenge-cup-it-2024/?utm_source=ip&utm_medium=hakatony_rf&utm_content=tg-post&utm_campaign=hakatony_rf
IT Purple Hack,Онлайн,Регистрация: до 5 марта,https://geekbattle.online/events/it-purple-hack
HomeHack,Онлайн,Регистрация: до 29 февраля,https://codenrock.com/contests/homehack?utm_source=partner&utm_medium=hackathonsrf&utm_campaign=digest#/
Garage Startup Sprint,"Офлайн, Нижний Новгород, Россия",Регистрация: 19 февраля,https://docs.google.com/forms/d/1r7x0J_y_tF7FqWl65Bu8m7iVCRMIsUUwcp3102n3qW0/closedform
Дизайн-хакатон RLT.HACK ,Онлайн+офлайн,Регистрация: до 16 февраля,https://uni.roseltorg.ru/intensive/dizajn-hakaton-rlthack?utm_source=hackrf&utm_medium=site&utm_campaign=dizajn-hakaton-rlthack
One Week Offer ,Онлайн+офлайн,Регистрация: до 11 февраля,https://sovcomoffer.ru/?utm_source=allhackhatons&utm_medium=web&utm_campaign=announce1
Возможности использования искусственного интеллекта в образовательном процессе,Онлайн,Регистрация: до 16 февраля,https://shmp.econ.msu.ru/aiidea
Varwin Хакатон 2024,Онлайн+офлайн,Регистрация: до 1 марта,https://webinar.varwin.com/hakaton2024?utm_source=pr&utm_medium=article&utm_campaign=hakaton24&utm_content=hakatonrf
TechnoHack'24,Офлайн,Регистрация: до 12 января,https://technohack24.nsu.ru/
Xmas Hacktahon 2023,"Онлайн+офлайн, Петровац, Черногория",,https://health-samura-hackathon.timepad.ru/event/2686050/
DatsBlack,Онлайн,Регистрация: до 22 декабря,https://datsteam.dev/datsblack/?utm_source=rus
Кузнец стартапов,Онлайн,Регистрация: до 21 декабря,https://t.me/hack_forge_of_startup_bot
X-MAS Hack,Онлайн,Регистрация: до 19 декабря,https://xmas-hack.ru/
LimeHD,"Офлайн, г. Чебоксары, ул. Карла Маркса, 60А",Регистрация: до 13 декабря,https://hackathonlime.ru/
DevRel Hack 2.0,Онлайн,Регистрация: до 14 декабря,https://codenrock.com/contests/devrel-hack-2?utm_source=codenrock&utm_medium=social#/
SolarHack 2023,Онлайн,Регистрация: до 7 декабря,https://codenrock.com/contests/solarhack2023?utm_source=partner&utm_medium=pos
Tender Hack,"Офлайн, Пермь, Бульвар Гагарина, 65А (отель Holiday Perm)",Регистрация: до 8 декабря,https://tenderhack.ru/perm
Brand Analytics ML Contest,Онлайн,Регистрация: до 15 декабря,https://ba-contest.ru/
VkRuM 2023,Онлайн+офлайн,Регистрация: до 3 декабря,https://vkrum.mirea.ru/?utm_source=%D1%85%D0%B0%D0%BA%D0%B0%D1%82%D0%BE%D0%BD%D1%8B.%D1%80%D1%84
GO.ALGO,Онлайн+офлайн,Регистрация: до 28 ноября,https://goalgo.ru/
Phystech GigaChat Challenge,Онлайн,Регистрация: до 28 ноября,https://gigachat-challenge.tech/?utm_source=pgenesis&utm_medium=web&utm_campaign=allhack
BUIDL WKND,"Онлайн+офлайн, Санкт-Петербург",Регистрация: до 30 ноября,https://docs.google.com/forms/d/e/1FAIpQLSekhN2UsMIKsD2GiZhZTPDAmyYdWZUVPPLFqVirthNuHXNTMg/viewform?urp=gmail_link
Онлайн Хакатон по бизнес-аналитике,Онлайн,Регистрация: до 30 ноября,https://pix.ru/events/vebinary/online-hackathon-bi/
1Старт!,"Онлайн+офлайн, Санкт-Петербург",Регистрация: до 27 ноября,https://1start.gazpromcps.ru/
Международный хакатон. «Цифровой прорыв. Сезон: Искусственный интеллект»,"Офлайн, Москва, Россия",Регистрация: до 20 ноября,https://hacks-ai.ru/hackathons.html?eventId=969092
Хакатон по кибериммунной разработке 2.0,Онлайн,Регистрация: до 24 ноября,https://codenrock.com/contests/hackathon-cyberimmune-2?utm_source=partner&utm_medium=pos
Урбатон,Онлайн,Регистрация: до 23 ноября,https://codenrock.com/contests/urbathon?utm_source=partner&utm_medium=pos#/
История будущего,Офлайн,Регистрация: до 30 сентября,https://culturechamp.ru
Quant-NN,"Офлайн, г. Нижний Новгород, Проспект Гагарина, 25 к 1",Регистрация: до 6 ноября,https://quant-nn.unn.ru/
VIII Югорский хакатон - Хантатон-2023,"Онлайн+офлайн, Ханты-Мансийск, Россия",Регистрация: до 17 ноября,https://hackathon.uriit.ru/2023/
Всероссийский Инженерный Хакатон ВИХрь,Онлайн+офлайн,Регистрация: до 18 октября,https://docs.google.com/forms/d/e/1FAIpQLSfQ_fLbDIsp5OFxTaoWYuLZM2uLWKqh7qm5_zllcrqQLiar6w/viewform
Tender Hack,Офлайн,Регистрация: до 15 ноября,https://tenderhack.ru/nizhnynovgorod
MirITeam.Hack,"Онлайн + офлайн, Нижний Новгород, Россия",Регистрация: до 14 ноября,https://hack.miriteam.com/
HSE Sber ML Hack,"Онлайн + офлайн, г. Москва, ФКН ВШЭ",Регистрация: до 6 ноября,https://cs.hse.ru/sberhack/reghack
Национальный студенческий хакатон «Цифровой суверенитет»,"Офлайн, Москва, Россия",Регистрация: до 24 ноября,https://xn----ctbbmaapfe8bebxhmwbjl2b.xn--p1ai/
Хакатон от Тинькофф,"Онлайн + офлайн (г. Самара, Молодогвардейская улица, д. 151, корп. 1)",Регистрация: до 13 ноября,https://fintech.tinkoff.ru/activities/tinkoff_projects/samara_hackathon/
Киберколизей,"Онлайн, Платформа Codeby Games",Регистрация: до 11 ноября,https://cybercoliseum.codeby.games/
AgroCode Hack 2023,Онлайн,Регистрация: до 8 ноября,https://agro-code.ru/hack/apply/
Smolathon,"Офлайн, Россия, Смоленск",Регистрация: до 31 октября,https://xn--b1aeoescq.xn--p1ai/hackathon
Хакатон для программистов-робототехников!,"Онлайн+офлайн, г. Уфа",Регистрация: до 5 октября,https://events.rn.digital/hack/it2023robot
DataWagon,Онлайн,Регистрация: до 6 ноября,https://datawagon.ru/?utm_source=hack_rf&utm_medium=partner&utm_campaign=announce1#closepopup
Хакатон в СКФО. «Цифровой прорыв. Сезон: Искусственный интеллект»,"Онлайн+офлайн, Ставрополь, Россия",Регистрация: до 6 ноября,https://hacks-ai.ru/hackathons.html?eventId=969088
Сеченовский хакатон ,Онлайн,Регистрация: до 22 октября,https://hackathon.confreg.org/
Федеральный Просветительский марафон Знание.Первые,"Онлайн + офлайн, Москва",Регистрация: до 7 апреля,https://marathon.znanierussia.ru/
Лига Приключений – Кейс-чемпионат в Москве,"Онлайн+офлайн, РФ, г. Москва",Регистрация: до 3 октября,https://adventure-league-scb.ru/msk?utm_source=partner&utm_medium=pos
Хакатон в ПФО. «Цифровой прорыв. Сезон: Искусственный интеллект»,"Онлайн+офлайн, Пермь, Россия",Регистрация: до 23 октября,https://hacks-ai.ru/hackathons.html?eventId=969086
Hack iN Home,"Офлайн, г. Москва, МГТУ «СТАНКИН»",Регистрация: 27 октября,https://t.me/+RHDH0RDnVOAwMjMy
CheckAI Hack,Онлайн,Регистрация: до 22 октября,https://www.zavodit.ru/ru/calendar/event/37
AgroCode Data Science Cup,Онлайн,Регистрация: до 16 ноября,https://rshbdigital.ru/agrocode-data-science-cup
HackRevolution,"Офлайн, Обнинск",Регистрация: до 20 октября,https://xn--40-emcadbfdgn.xn--p1ai/events/81
TulaHack Accelerator 2.0,"Онлайн + офлайн (Тула, ул Фридриха Энгельса, д. 157, БиоХимТехЦентр ТулГУ)",Регистрация: до 18 октября,https://leader-id.ru/events/454761
